severity,status,code,scope,finding,evidence,recommendation
MEDIUM,open,CAMPAIGN_BOUNDED_COMPLETION,本編全体,明示した監査上限内で109/300周（36.3%）が天空遺跡まで完走した。,1周1000戦、1戦400ターン、各ボス敗北80回で打ち切り、ボス敗北上限で159周が停止。プロジェクトの目標完走率は未定義のため、この値単独を合否判定に使わない。,目標プレイ時間・許容戦闘数・想定方針ごとの目標を先に定義し、停止理由と上限感度を確認してから個別のボス値や経験値を調整する。
HIGH,open,SPD_DEAD_STAT,戦闘/装備/説明,素早さは行動順・回避・逃走・スカウトに使われず、実質的に1特技の火力以外へ影響しない。,"battle.js 312-518, 878-899 / skills.js 11。プレイヤーは常に先手で、逃走率も固定。",spdで先制・回避・ゲージを決めるか、低リスク案として純spd装備と説明を有効な能力へ置換する。
MEDIUM,open,FREE_HEAL_SHOP_CONFLICT,経済/回復,仲間画面と起動時の全回復が無料なのに、ショップは同じ全回復を30Gで販売する。,monsterView.js 218-220 / app.js 197-202 / main.js 30 / shop.js 30-36。,無料回復を正式仕様にしてショップ回復を遠征バフへ置換するか、全導線のコストを統一する。
MEDIUM,open,ENEMY_HEAL_UNUSED,敵AI/地域説明,敵AIはdamage技だけを選ぶため、回復技を持つ敵・ボスも回復しない。湖畔の説明とも一致しない。,battle.js 460-474 / stages.js 7。,敵HP閾値付き回復AIを追加するか、回復敵という説明を削除する。追加時は長期戦率を再計測する。
MEDIUM,open,LEVEL_GATE_ASYMMETRY,ステージ進行,「推奨Lv」は通常探索だけを拒否するハードゲートで、ボスには同じ判定がなく、最高Lv1体だけで通過できる。,"battle.js 193-200, 242-249 / state.js 629。",表記を必要Lvへ変えて通常/ボスを統一するか、両方を警告だけにする。判定は編成平均も比較候補。
MEDIUM,open,SCOUT_ZERO_REWARD,収集/育成/経済,通常スカウト成功はボス解放勝数を進める一方、EXP・GOLD・ドロップがすべて0で収集プレイほど育成不足になりやすい。,battle.js 662-714。ボススカウトだけは通常報酬を得る。,通常スカウトにも通常勝利の50-70%EXP/GOLDを与えるか、ボス気配の進行を報酬設計と分離する。
MEDIUM,open,SCOUT_CHARM_EARLY_CONSUMPTION,スカウト笛,スカウト笛は対象確認や初回スカウト実行より前の戦闘開始時に消費されるため、スカウトへ進めない戦闘でも失う。,"battle.js 226-234, 283-291。任務報酬の在庫上書きは修正済みだが、消費タイミングは別仕様として残る。",笛の消費を、その戦闘で最初にスカウトを実行した時点へ移す。
MEDIUM,open,AUTO_SKILL_SELECTION,オート戦闘,オートは攻撃特技が1つでも使えると通常攻撃との実ダメージ比較なしでMP技を選ぶ。,battle.js 69-110。選定スコアは参照能力×power×属性だけ。,本体と監査で共有する期待ダメージ関数を作り、通常攻撃とMP効率を同じ候補集合で比較する。
HIGH,open,HIGH_RANK_SCOUT_WALL,高ランク収集,同Lv・HP25%・笛ありでも火山以降の初回ボススカウトは下限3%。魔界門S素材は出現率込みでP90約79探索になる。,battle.js 526-544。本番式の4回累積成功は下限時11.5%、魔界門対象は4体中1体。,必須素材へ代替配合を用意し、失敗減衰を緩和するか一定回数後のpity補正を追加する。
MEDIUM,open,FUSION_RANK_SPEC_DRIFT,配合仕様,文書はB/A/S結果へ親ランク条件を定義するが、実装は親ランクを検査しない。現行レシピには文書条件に反する経路がある。,FUSION_RANK_REQUIREMENTS_V71.md 9-17 / FUSION_SPEC_SUMMARY_V727.md 27-33 / fusion.js 214-226。,ゲートだけ追加すると既存レシピを壊すため、実装を正とする文書更新か、条件と違反レシピの同時改定を選ぶ。
MEDIUM,open,GOLD_SINK_COLLAPSES_TO_TRAINING,長期経済,無料回復と有限の装備購入後、繰り返し使えるGOLD用途は60G→40EXPの修練へほぼ一本化される。配合・強化・重複交換には費用がない。,shop.js 30-80 / items.js 5-10 / fusion.js 810-848。回復30Gは無料導線と競合し、装備価格は95-125G。,ランク別配合研究費、装備強化、重複3個交換など選択肢を設け、修練だけへ支出が集中しないか再監査する。
MEDIUM,open,PLAYER_RANK_POSTGAME_CURVE,冒険者ランク,"Rank30必要EXPは181,540。危険度5通常戦だけでも約6,484戦で、本編完走規模と大きく乖離する。",config.js 53-85 / battle.js 774-780。,長期postgame仕様と明記して報酬価値を合わせるか、曲線圧縮と任務・闘技場からのplayer EXP付与を検討する。
