severity,code,scope,finding,evidence,recommendation
MEDIUM,CAMPAIGN_COMPLETION_LOW,本編全体,300周の監査上限内完走率が36%に留まった。,108/300周が天空遺跡まで完走。1周1000戦、1戦400ターン、各ボス敗北80回を監査上限とし、ボス敗北上限で162周が停止。,停止理由を方針・地域別に分解し、上限感度を確認してからボス火力・必要周回・AIを個別調整する。
HIGH,SPD_DEAD_STAT,戦闘/装備/説明,素早さは行動順・回避・逃走・スカウトに使われず、実質的に1特技の火力以外へ影響しない。,"battle.js 312-518, 878-899 / skills.js 11。プレイヤーは常に先手で、逃走率も固定。",spdで先制・回避・ゲージを決めるか、低リスク案として純spd装備と説明を有効な能力へ置換する。
HIGH,AUTO_GUARD_LOOP,オート戦闘,回復技なし・HP22%以下のバランス系AIは毎ターン防御し、攻撃せず最小1ダメージで倒れるまで長期化する。,"battle.js 93-110, 338-343, 509-518。防御に回復・MP回復・反撃・連続制限がない。",連続防御を禁止して次手を攻撃/交代にする。防御へMP回復等を足す場合は同一seedで再監査する。
HIGH,FUSION_EQUIP_INHERIT,配合/成長,配合ボーナスが装備込み能力の5.5%を永久継承し、装備自体は袋へ戻るため同じ装備を世代ごとに再利用できる。,"fusion.js 234-239, 839-845 / state.js 263-282。",継承は装備・性格・突然変異を除く基礎能力から算出し、世代累積の上限も設ける。
MEDIUM,FREE_HEAL_SHOP_CONFLICT,経済/回復,仲間画面と起動時の全回復が無料なのに、ショップは同じ全回復を30Gで販売する。,monsterView.js 218-220 / app.js 197-202 / main.js 30 / shop.js 30-36。,無料回復を正式仕様にしてショップ回復を遠征バフへ置換するか、全導線のコストを統一する。
MEDIUM,ENEMY_HEAL_UNUSED,敵AI/地域説明,敵AIはdamage技だけを選ぶため、回復技を持つ敵・ボスも回復しない。湖畔の説明とも一致しない。,battle.js 460-474 / stages.js 7。,敵HP閾値付き回復AIを追加するか、回復敵という説明を削除する。追加時は長期戦率を再計測する。
MEDIUM,LEVEL_GATE_ASYMMETRY,ステージ進行,「推奨Lv」は通常探索だけを拒否するハードゲートで、ボスには同じ判定がなく、最高Lv1体だけで通過できる。,"battle.js 193-200, 242-249 / state.js 629。",表記を必要Lvへ変えて通常/ボスを統一するか、両方を警告だけにする。判定は編成平均も比較候補。
MEDIUM,ITEM_RECORD_INFLATION,任務/装備,装備交換・解除・配合時の装備返却も「アイテム入手数」に加算され、同じ1個で収集任務を水増しできる。,state.js 819-854 / fusion.js 839-840。,袋への返却は取得記録を増やさない専用関数へ分離し、records.itemsは外部獲得だけを数える。
MEDIUM,SCOUT_ZERO_REWARD,収集/育成/経済,通常スカウト成功はボス解放勝数を進める一方、EXP・GOLD・ドロップがすべて0で収集プレイほど育成不足になりやすい。,battle.js 662-714。ボススカウトだけは通常報酬を得る。,通常スカウトにも通常勝利の50-70%EXP/GOLDを与えるか、ボス気配の進行を報酬設計と分離する。
MEDIUM,SCOUT_CHARM_OVERWRITE,任務/スカウト笛,任務の笛報酬は加算でなく在庫を1に上書きし、複数所持時に受け取ると減少する。笛は対象確認前の戦闘開始時に消費される。,"state.js 990-1000 / battle.js 226-234, 283-291。",報酬は += 1、消費はスカウト初回実行時へ移す。
MEDIUM,AUTO_SKILL_SELECTION,オート戦闘,オートは攻撃特技が1つでも使えると通常攻撃との実ダメージ比較なしでMP技を選ぶ。,battle.js 69-110。選定スコアは参照能力×power×属性だけ。,本体と監査で共有する期待ダメージ関数を作り、通常攻撃とMP効率を同じ候補集合で比較する。
HIGH,HIGH_RANK_SCOUT_WALL,高ランク収集,同Lv・HP25%・笛ありでも火山以降の初回ボススカウトは下限3%。魔界門S素材は出現率込みでP90約79探索になる。,battle.js 526-544。本番式の4回累積成功は下限時11.5%、魔界門対象は4体中1体。,必須素材へ代替配合を用意し、失敗減衰を緩和するか一定回数後のpity補正を追加する。
MEDIUM,FUSION_RANK_SPEC_DRIFT,配合仕様,文書はB/A/S結果へ親ランク条件を定義するが、実装は親ランクを検査しない。現行レシピには文書条件に反する経路がある。,FUSION_RANK_REQUIREMENTS_V71.md 9-17 / FUSION_SPEC_SUMMARY_V727.md 27-33 / fusion.js 214-226。,ゲートだけ追加すると既存レシピを壊すため、実装を正とする文書更新か、条件と違反レシピの同時改定を選ぶ。
MEDIUM,GOLD_SINK_COLLAPSES_TO_TRAINING,長期経済,無料回復と有限の装備購入後、繰り返し使えるGOLD用途は60G→40EXPの修練へほぼ一本化される。配合・強化・重複交換には費用がない。,shop.js 30-80 / items.js 5-10 / fusion.js 810-848。回復30Gは無料導線と競合し、装備価格は95-125G。,ランク別配合研究費、装備強化、重複3個交換など選択肢を設け、修練だけへ支出が集中しないか再監査する。
MEDIUM,PLAYER_RANK_POSTGAME_CURVE,冒険者ランク,"Rank30必要EXPは181,540。危険度5通常戦だけでも約6,484戦で、本編完走規模と大きく乖離する。",config.js 53-85 / battle.js 774-780。,長期postgame仕様と明記して報酬価値を合わせるか、曲線圧縮と任務・闘技場からのplayer EXP付与を検討する。
HIGH,BOSS_WALL_PRISM_SANCTUARY,虹晶聖域,初回ボス成功率0%、平均43.23回で、進行上の壁になっている。,到達220周、ボス開始Lv中央値35、ボスLv42。,boss.boostのHP/ATKを5-10%刻みで下げる案と、直前地域EXPを10-15%増やす案を同一seedで比較する。
HIGH,BOSS_WALL_SKY_RUINS,天空遺跡,初回ボス成功率6.5%、平均39.56回で、進行上の壁になっている。,到達168周、ボス開始Lv中央値92、ボスLv86。,boss.boostのHP/ATKを5-10%刻みで下げる案と、直前地域EXPを10-15%増やす案を同一seedで比較する。
HIGH,BOSS_WALL_DEEP_SEA_TEMPLE,深海神殿,初回ボス成功率1.5%、平均36.3回で、進行上の壁になっている。,到達194周、ボス開始Lv中央値64、ボスLv66。,boss.boostのHP/ATKを5-10%刻みで下げる案と、直前地域EXPを10-15%増やす案を同一seedで比較する。
MEDIUM,GRIND_SPIKE_SKY_RUINS,天空遺跡,ボス解放に必要な7勝に加えて、平均94.71勝の追加育成が発生した。,通常戦平均103.72回、ボス開始Lv中央値92。,直前/当該地域のEXP、boss Lv/boost、修練40EXP/60Gを別々の反実仮想として比較する。
MEDIUM,GRIND_SPIKE_PRISM_SANCTUARY,虹晶聖域,ボス解放に必要な6勝に加えて、平均92.37勝の追加育成が発生した。,通常戦平均112.4回、ボス開始Lv中央値35。,直前/当該地域のEXP、boss Lv/boost、修練40EXP/60Gを別々の反実仮想として比較する。
MEDIUM,GRIND_SPIKE_DEEP_SEA_TEMPLE,深海神殿,ボス解放に必要な6勝に加えて、平均86.19勝の追加育成が発生した。,通常戦平均95.14回、ボス開始Lv中央値64。,直前/当該地域のEXP、boss Lv/boost、修練40EXP/60Gを別々の反実仮想として比較する。
HIGH,PLAYSTYLE_COMPLETION_GAP,プレイスタイル差,監査上限内完走率が収集・配合と速攻で57pt開いた。,収集・配合 57% / 速攻 0%。,停止理由を方針別に分解し、特に速攻側で不足する対抗手段・育成導線を調整してから、同一seed集合で再比較する。
